algorithm,data_type,array_size,max_string_size,average_time_microseconds,average_char_comparisons
StandardQuickSort,reversed,2900,200,204755,4875622
StandardQuickSort,almost_sorted,2900,200,23199.9,506131
StringMergeSort,random,2900,200,12321.4,26827
StringMergeSort,reversed,2900,200,10628,11593
StringMergeSort,almost_sorted,2900,200,11137.6,14763
StringQuickSort,random,2900,200,1849.6,53123
StringQuickSort,reversed,2900,200,5422.8,141332
StringQuickSort,almost_sorted,2900,200,3301.7,147099
RadixSort,random,2900,200,6038.2,0
RadixSort,reversed,2900,200,5984,0
RadixSort,almost_sorted,2900,200,5996.4,0
RadixSortWithQuickSwitch,random,2900,200,1474.8,20517
RadixSortWithQuickSwitch,reversed,2900,200,2482.7,47080
RadixSortWithQuickSwitch,almost_sorted,2900,200,1506.8,28403
StandardMergeSort,random,3000,200,5344.8,44422
StandardMergeSort,reversed,3000,200,4124.4,28353
StandardMergeSort,almost_sorted,3000,200,4677.2,39173
StandardQuickSort,random,3000,200,26549.6,530773
StandardQuickSort,reversed,3000,200,239238,5194538
StandardQuickSort,almost_sorted,3000,200,34355.5,753389
StringMergeSort,random,3000,200,12778.6,27874
StringMergeSort,reversed,3000,200,11049.7,12110
StringMergeSort,almost_sorted,3000,200,11473.9,15431
StringQuickSort,random,3000,200,1910.3,54937
StringQuickSort,reversed,3000,200,5688.8,149540
StringQuickSort,almost_sorted,3000,200,3062.9,133178
RadixSort,random,3000,200,6390.7,0
RadixSort,reversed,3000,200,6149.9,0
RadixSort,almost_sorted,3000,200,6178.1,0
RadixSortWithQuickSwitch,random,3000,200,1534.9,21481
RadixSortWithQuickSwitch,reversed,3000,200,2575.8,48964
